Outlook  Temperature  Humidity  Windy  PlayTennis
0         0            0         0  False           0
1         0            0         0   True           0
2         1            0         0  False           1
3         2            1         0  False           1
4         2            2         1  False           1
5         2            2         1   True           0
6         1            2         1   True           1
7         0            1         0  False           0
8         0            2         1  False           1
9         2            1         1  False           1
10        0            1         1   True           1
11        1            1         0   True           1
12        1            0         1  False           1
13        2            1         0   True           0
